fname,col,cat
lacrimal gland,#10FB04,Anatomical region
epididymis,#10FB04,Anatomical region
breast,#10FB04,Anatomical region
pineal body,#10FB04,Anatomical region
craniocervical region,#10FB04,Anatomical region
optic choroid,#10FB04,Anatomical region
cartilage tissue,#10FB04,Anatomical region
synovial joint,#10FB04,Anatomical region
peripheral nervous system,#10FB04,Anatomical region
skeletal muscle organ,#10FB04,Anatomical region
nerve,#10FB04,Anatomical region
bone element,#10FB04,Anatomical region
artery,#10FB04,Anatomical region
nasopharynx,#10FB04,Anatomical region
pericardium,#10FB04,Anatomical region
gall bladder,#10FB04,Anatomical region
retina,#10FB04,Anatomical region
eye,#10FB04,Anatomical region
rectum,#10FB04,Anatomical region
frontal lobe,#10FB04,Anatomical region
uterine cervix,#10FB04,Anatomical region
islet of Langerhans,#10FB04,Anatomical region
zone of skin,#10FB04,Anatomical region
tendon,#10FB04,Anatomical region
renal glomerulus,#10FB04,Anatomical region
material anatomical entity,#10FB04,Anatomical region
embryo,#10FB04,Anatomical region
adipose tissue,#10FB04,Anatomical region
caecum,#10FB04,Anatomical region
vermiform appendix,#10FB04,Anatomical region
fundus of stomach,#10FB04,Anatomical region
adrenal cortex,#10FB04,Anatomical region
tibial nerve,#10FB04,Anatomical region
muscle of leg,#10FB04,Anatomical region
coronary artery,#10FB04,Anatomical region
muscle organ,#10FB04,Anatomical region
tongue,#10FB04,Anatomical region
nasal cavity mucosa,#10FB04,Anatomical region
gingiva,#10FB04,Anatomical region
globus pallidus,#10FB04,Anatomical region
amygdala,#10FB04,Anatomical region
nucleus accumbens,#10FB04,Anatomical region
forebrain,#10FB04,Anatomical region
neocortex,#10FB04,Anatomical region
epithelium of esophagus,#10FB04,Anatomical region
cardiac atrium,#10FB04,Anatomical region
kidney,#10FB04,Anatomical region
jejunum,#10FB04,Anatomical region
bronchus,#10FB04,Anatomical region
subcutaneous adipose tissue,#10FB04,Anatomical region
peritoneum,#10FB04,Anatomical region
esophagus mucosa,#10FB04,Anatomical region
cingulate cortex,#10FB04,Anatomical region
cervix epithelium,#10FB04,Anatomical region
oviduct epithelium,#10FB04,Anatomical region
kidney epithelium,#10FB04,Anatomical region
squamous epithelium,#10FB04,Anatomical region
omental fat pad,#10FB04,Anatomical region
Brodmann (1909) area 9,#10FB04,Anatomical region
pituitary gland,#10FB04,Anatomical region
lymph node,#10FB04,Anatomical region
large intestine,#10FB04,Anatomical region
adult mammalian kidney,#10FB04,Anatomical region
intestine,#10FB04,Anatomical region
blood,#10FB04,Anatomical region
anatomical system,#10FB04,Anatomical region
multi-cellular organism,#10FB04,Anatomical region
testis,#10FB04,Anatomical region
female reproductive system,#10FB04,Anatomical region
stomach,#10FB04,Anatomical region
heart,#10FB04,Anatomical region
brain,#10FB04,Anatomical region
cerebral cortex,#10FB04,Anatomical region
female gonad,#10FB04,Anatomical region
vagina,#10FB04,Anatomical region
central nervous system,#10FB04,Anatomical region
esophagus,#10FB04,Anatomical region
colon,#10FB04,Anatomical region
sigmoid colon,#10FB04,Anatomical region
urinary bladder,#10FB04,Anatomical region
pancreas,#10FB04,Anatomical region
endometrium,#10FB04,Anatomical region
myometrium,#10FB04,Anatomical region
caudate nucleus,#10FB04,Anatomical region
putamen,#10FB04,Anatomical region
midbrain,#10FB04,Anatomical region
telencephalon,#10FB04,Anatomical region
medulla oblongata,#10FB04,Anatomical region
hypothalamus,#10FB04,Anatomical region
mammary gland,#10FB04,Anatomical region
Ammon's horn,#10FB04,Anatomical region
substantia nigra,#10FB04,Anatomical region
thyroid gland,#10FB04,Anatomical region
lung,#10FB04,Anatomical region
cardiac ventricle,#10FB04,Anatomical region
spleen,#10FB04,Anatomical region
liver,#10FB04,Anatomical region
small intestine,#10FB04,Anatomical region
cerebellar cortex,#10FB04,Anatomical region
prostate gland,#10FB04,Anatomical region
adrenal gland,#10FB04,Anatomical region
connective tissue,#10FB04,Anatomical region
muscle tissue,#10FB04,Anatomical region
fallopian tube,#10FB04,Anatomical region
thoracic mammary gland,#10FB04,Anatomical region
dorsolateral prefrontal cortex,#10FB04,Anatomical region
anterior cingulate cortex,#10FB04,Anatomical region
prefrontal cortex,#10FB04,Anatomical region
corpus callosum,#10FB04,Anatomical region
placenta,#10FB04,Anatomical region
temporal lobe,#10FB04,Anatomical region
uterus,#10FB04,Anatomical region
duodenum,#10FB04,Anatomical region
cerebellar hemisphere,#10FB04,Anatomical region
bone marrow,#10FB04,Anatomical region
superior frontal gyrus,#10FB04,Anatomical region
frontal cortex,#10FB04,Anatomical region
cortex of kidney,#10FB04,Anatomical region
spinal cord,#10FB04,Anatomical region
saliva-secreting gland,#10FB04,Anatomical region
smooth muscle tissue,#10FB04,Anatomical region
adipose tissue of abdominal region,#10FB04,Anatomical region
skeletal muscle tissue,#10FB04,Anatomical region
dorsal root ganglion,#10FB04,Anatomical region
entorhinal cortex,#10FB04,Anatomical region
palpebral conjunctiva,#10FB04,Anatomical region
colonic mucosa,#10FB04,Anatomical region
cerebellum,#10FB04,Anatomical region
primary visual cortex,#10FB04,Anatomical region
mouth mucosa,#10FB04,Anatomical region
metanephros,#10FB04,Anatomical region
amniotic fluid,#10FB04,Anatomical region
medial globus pallidus,#10FB04,Anatomical region
mammalian vulva,#10FB04,Anatomical region
dorsal plus ventral thalamus,#10FB04,Anatomical region
occipital lobe,#10FB04,Anatomical region
tonsil,#10FB04,Anatomical region
epithelium of mammary gland,#10FB04,Anatomical region
metanephric glomerulus,#10FB04,Anatomical region
layer of synovial tissue,#10FB04,Anatomical region
epithelium of bronchus,#10FB04,Anatomical region
deltoid,#10FB04,Anatomical region
vastus lateralis,#10FB04,Anatomical region
parietal lobe,#10FB04,Anatomical region
myocardium,#10FB04,Anatomical region
thymus,#10FB04,Anatomical region
decidua,#10FB04,Anatomical region
Brodmann (1909) area 46,#10FB04,Anatomical region
nephron tubule,#10FB04,Anatomical region
biceps brachii,#10FB04,Anatomical region
nasal cavity epithelium,#10FB04,Anatomical region
quadriceps femoris,#10FB04,Anatomical region
hair follicle,#10FB04,Anatomical region
trachea,#10FB04,Anatomical region
cerebellar vermis,#10FB04,Anatomical region
heart left atrium,#10FB04,Anatomical region
aorta,#10FB04,Anatomical region
heart left ventricle,#10FB04,Anatomical region
heart right ventricle,#10FB04,Anatomical region
heart right atrium,#10FB04,Anatomical region
